"Country or Area","Year(s)","Variant","Value"
"Colombia","2095-2100","Medium","-.528"
"Colombia","2090-2095","Medium","-.534"
"Colombia","2085-2090","Medium","-.527"
"Colombia","2080-2085","Medium","-.508"
"Colombia","2075-2080","Medium","-.473"
"Colombia","2070-2075","Medium","-.417"
"Colombia","2065-2070","Medium","-.357"
"Colombia","2060-2065","Medium","-.292"
"Colombia","2055-2060","Medium","-.220"
"Colombia","2050-2055","Medium","-.136"
"Colombia","2045-2050","Medium","-.037"
"Colombia","2040-2045","Medium",".080"
"Colombia","2035-2040","Medium",".206"
"Colombia","2030-2035","Medium",".344"
"Colombia","2025-2030","Medium",".488"
"Colombia","2020-2025","Medium",".640"
"Colombia","2015-2020","Medium",".809"
"Colombia","2010-2015","Medium",".982"
"Colombia","2005-2010","Medium","1.181"
"Colombia","2000-2005","Medium","1.378"
"Colombia","1995-2000","Medium","1.523"
"Colombia","1990-1995","Medium","1.770"
"Colombia","1985-1990","Medium","1.999"
"Colombia","1980-1985","Medium","2.231"
"Colombia","1975-1980","Medium","2.274"
"Colombia","1970-1975","Medium","2.306"
"Colombia","1965-1970","Medium","2.836"
"Colombia","1960-1965","Medium","2.997"
"Colombia","1955-1960","Medium","2.943"
"Colombia","1950-1955","Medium","2.842"

