"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Colombia","All sexes Children (0-14) estimate","2014","UNAIDS_Spectrum Estimates_","Number","2358",""
"Colombia","All sexes Children (0-14) estimate","2013","UNAIDS_Spectrum Estimates_","Number","2677",""
"Colombia","All sexes Children (0-14) estimate","2012","UNAIDS_Spectrum Estimates_","Number","2965",""
"Colombia","All sexes Children (0-14) estimate","2011","UNAIDS_Spectrum Estimates_","Number","3296",""
"Colombia","All sexes Children (0-14) estimate","2010","UNAIDS_Spectrum Estimates_","Number","3533",""
"Colombia","All sexes Children (0-14) estimate","2009","UNAIDS_Spectrum Estimates_","Number","3812",""
"Colombia","All sexes Children (0-14) estimate","2008","UNAIDS_Spectrum Estimates_","Number","4130",""
"Colombia","All sexes Children (0-14) estimate","2007","UNAIDS_Spectrum Estimates_","Number","4418",""
"Colombia","All sexes Children (0-14) estimate","2006","UNAIDS_Spectrum Estimates_","Number","4536",""
"Colombia","All sexes Children (0-14) estimate","2005","UNAIDS_Spectrum Estimates_","Number","4592",""
"Colombia","All sexes Children (0-14) estimate","2004","UNAIDS_Spectrum Estimates_","Number","4652",""
"Colombia","All sexes Children (0-14) estimate","2003","UNAIDS_Spectrum Estimates_","Number","4647",""
"Colombia","All sexes Children (0-14) estimate","2002","UNAIDS_Spectrum Estimates_","Number","4583",""
"Colombia","All sexes Children (0-14) estimate","2001","UNAIDS_Spectrum Estimates_","Number","4498",""
"Colombia","All sexes Children (0-14) estimate","2000","UNAIDS_Spectrum Estimates_","Number","4130",""
"Colombia","All sexes Children (0-14) estimate","1999","UNAIDS_Spectrum Estimates_","Number","3781",""
"Colombia","All sexes Children (0-14) estimate","1998","UNAIDS_Spectrum Estimates_","Number","3394",""
"Colombia","All sexes Children (0-14) estimate","1997","UNAIDS_Spectrum Estimates_","Number","2982",""
"Colombia","All sexes Children (0-14) estimate","1996","UNAIDS_Spectrum Estimates_","Number","2560",""
"Colombia","All sexes Children (0-14) estimate","1995","UNAIDS_Spectrum Estimates_","Number","2141",""
"Colombia","All sexes Children (0-14) estimate","1994","UNAIDS_Spectrum Estimates_","Number","1745",""
"Colombia","All sexes Children (0-14) estimate","1993","UNAIDS_Spectrum Estimates_","Number","1387",""
"Colombia","All sexes Children (0-14) estimate","1992","UNAIDS_Spectrum Estimates_","Number","1066",""
"Colombia","All sexes Children (0-14) estimate","1991","UNAIDS_Spectrum Estimates_","Number","790",""
"Colombia","All sexes Children (0-14) estimate","1990","UNAIDS_Spectrum Estimates_","Number","561",""
"Colombia","All sexes Children (0-14) lower estimate","2014","UNAIDS_Spectrum Estimates_","Number","1818",""
"Colombia","All sexes Children (0-14) lower estimate","2013","UNAIDS_Spectrum Estimates_","Number","2079",""
"Colombia","All sexes Children (0-14) lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","2296",""
"Colombia","All sexes Children (0-14) lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","2522",""
"Colombia","All sexes Children (0-14) lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","2695",""
"Colombia","All sexes Children (0-14) lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","2863",""
"Colombia","All sexes Children (0-14) lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","3121",""
"Colombia","All sexes Children (0-14) lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","3370",""
"Colombia","All sexes Children (0-14) lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","3459",""
"Colombia","All sexes Children (0-14) lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","3505",""
"Colombia","All sexes Children (0-14) lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","3545",""
"Colombia","All sexes Children (0-14) lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","3530",""
"Colombia","All sexes Children (0-14) lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","3483",""
"Colombia","All sexes Children (0-14) lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","3423",""
"Colombia","All sexes Children (0-14) lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","3105",""
"Colombia","All sexes Children (0-14) lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","2825",""
"Colombia","All sexes Children (0-14) lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","2513",""
"Colombia","All sexes Children (0-14) lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","2175",""
"Colombia","All sexes Children (0-14) lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","1844",""
"Colombia","All sexes Children (0-14) lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","1525",""
"Colombia","All sexes Children (0-14) lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","1232",""
"Colombia","All sexes Children (0-14) lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","947",""
